2025-05-27 06:35:40,885 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:36:22,694 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:37:17,093 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:38:43,984 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:39:40,383 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:40:14,808 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:43:24,106 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:46:51,930 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:48:34,422 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:48:41,945 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:48:46,382 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:48:50,970 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:48:57,136 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:49:02,712 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:49:08,744 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:49:37,636 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:49:49,786 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
2025-05-27 06:49:56,090 - INFO - [insecure] Origin: * | Result: Allowed (insecure)
