2025-05-27 06:47:49,763 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Allowed (secure)
2025-05-27 06:47:52,254 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Allowed (secure)
2025-05-27 06:47:53,181 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Allowed (secure)
2025-05-27 06:48:30,148 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Allowed (secure)
2025-05-27 06:49:25,256 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Allowed (secure)
2025-05-27 06:49:26,594 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Allowed (secure)
2025-05-27 06:49:27,586 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Allowed (secure)
2025-05-27 06:49:28,463 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Allowed (secure)
2025-05-27 06:49:29,883 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Allowed (secure)
2025-05-27 06:49:30,059 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Allowed (secure)
2025-05-27 06:49:30,500 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Allowed (secure)
2025-05-27 06:49:30,965 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Allowed (secure)
2025-05-27 06:53:39,897 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Blocked (untrusted origin)
2025-05-27 06:53:41,359 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Blocked (untrusted origin)
2025-05-27 06:53:42,514 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Blocked (untrusted origin)
2025-05-27 06:53:43,721 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Blocked (untrusted origin)
2025-05-27 06:53:54,922 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Blocked (untrusted origin)
2025-05-27 06:53:56,026 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Blocked (untrusted origin)
2025-05-27 06:55:11,991 - INFO - [secure] Origin: http://127.0.0.1:5500 | Result: Blocked (untrusted origin)
